Year,Period,Industry,Value
2000,M12,JTS110099000000000JOL,8
2001,M01,JTS110099000000000JOL,12
2001,M02,JTS110099000000000JOL,8
2001,M03,JTS110099000000000JOL,18
2001,M04,JTS110099000000000JOL,18
2001,M05,JTS110099000000000JOL,15
2001,M06,JTS110099000000000JOL,10
2001,M07,JTS110099000000000JOL,12
2001,M08,JTS110099000000000JOL,13
2001,M09,JTS110099000000000JOL,11
2001,M10,JTS110099000000000JOL,11
2001,M11,JTS110099000000000JOL,7
2001,M12,JTS110099000000000JOL,17
2002,M01,JTS110099000000000JOL,15
2002,M02,JTS110099000000000JOL,17
2002,M03,JTS110099000000000JOL,4
2002,M04,JTS110099000000000JOL,8
2002,M05,JTS110099000000000JOL,6
2002,M06,JTS110099000000000JOL,8
2002,M07,JTS110099000000000JOL,7
2002,M08,JTS110099000000000JOL,8
2002,M09,JTS110099000000000JOL,6
2002,M10,JTS110099000000000JOL,9
2002,M11,JTS110099000000000JOL,7
2002,M12,JTS110099000000000JOL,4
2003,M01,JTS110099000000000JOL,5
2003,M02,JTS110099000000000JOL,6
2003,M03,JTS110099000000000JOL,4
2003,M04,JTS110099000000000JOL,5
2003,M05,JTS110099000000000JOL,10
2003,M06,JTS110099000000000JOL,8
2003,M07,JTS110099000000000JOL,10
2003,M08,JTS110099000000000JOL,6
2003,M09,JTS110099000000000JOL,8
2003,M10,JTS110099000000000JOL,7
2003,M11,JTS110099000000000JOL,6
2003,M12,JTS110099000000000JOL,9
2004,M01,JTS110099000000000JOL,9
2004,M02,JTS110099000000000JOL,6
2004,M03,JTS110099000000000JOL,9
2004,M04,JTS110099000000000JOL,10
2004,M05,JTS110099000000000JOL,9
2004,M06,JTS110099000000000JOL,10
2004,M07,JTS110099000000000JOL,9
2004,M08,JTS110099000000000JOL,8
2004,M09,JTS110099000000000JOL,9
2004,M10,JTS110099000000000JOL,9
2004,M11,JTS110099000000000JOL,11
2004,M12,JTS110099000000000JOL,11
2005,M01,JTS110099000000000JOL,11
2005,M02,JTS110099000000000JOL,10
2005,M03,JTS110099000000000JOL,13
2005,M04,JTS110099000000000JOL,10
2005,M05,JTS110099000000000JOL,13
2005,M06,JTS110099000000000JOL,12
2005,M07,JTS110099000000000JOL,13
2005,M08,JTS110099000000000JOL,13
2005,M09,JTS110099000000000JOL,20
2005,M10,JTS110099000000000JOL,13
2005,M11,JTS110099000000000JOL,16
2005,M12,JTS110099000000000JOL,13
2006,M01,JTS110099000000000JOL,13
2006,M02,JTS110099000000000JOL,16
2006,M03,JTS110099000000000JOL,16
2006,M04,JTS110099000000000JOL,15
2006,M05,JTS110099000000000JOL,16
2006,M06,JTS110099000000000JOL,20
2006,M07,JTS110099000000000JOL,13
2006,M08,JTS110099000000000JOL,18
2006,M09,JTS110099000000000JOL,17
2006,M10,JTS110099000000000JOL,18
2006,M11,JTS110099000000000JOL,17
2006,M12,JTS110099000000000JOL,17
2007,M01,JTS110099000000000JOL,15
2007,M02,JTS110099000000000JOL,12
2007,M03,JTS110099000000000JOL,18
2007,M04,JTS110099000000000JOL,15
2007,M05,JTS110099000000000JOL,15
2007,M06,JTS110099000000000JOL,11
2007,M07,JTS110099000000000JOL,14
2007,M08,JTS110099000000000JOL,12
2007,M09,JTS110099000000000JOL,14
2007,M10,JTS110099000000000JOL,12
2007,M11,JTS110099000000000JOL,14
2007,M12,JTS110099000000000JOL,19
2008,M01,JTS110099000000000JOL,14
2008,M02,JTS110099000000000JOL,16
2008,M03,JTS110099000000000JOL,13
2008,M04,JTS110099000000000JOL,14
2008,M05,JTS110099000000000JOL,15
2008,M06,JTS110099000000000JOL,17
2008,M07,JTS110099000000000JOL,28
2008,M08,JTS110099000000000JOL,23
2008,M09,JTS110099000000000JOL,13
2008,M10,JTS110099000000000JOL,13
2008,M11,JTS110099000000000JOL,13
2008,M12,JTS110099000000000JOL,13
2009,M01,JTS110099000000000JOL,18
2009,M02,JTS110099000000000JOL,9
2009,M03,JTS110099000000000JOL,7
2009,M04,JTS110099000000000JOL,8
2009,M05,JTS110099000000000JOL,9
2009,M06,JTS110099000000000JOL,5
2009,M07,JTS110099000000000JOL,3
2009,M08,JTS110099000000000JOL,4
2009,M09,JTS110099000000000JOL,7
2009,M10,JTS110099000000000JOL,7
2009,M11,JTS110099000000000JOL,7
2009,M12,JTS110099000000000JOL,6
2010,M01,JTS110099000000000JOL,8
2010,M02,JTS110099000000000JOL,13
2010,M03,JTS110099000000000JOL,12
2010,M04,JTS110099000000000JOL,17
2010,M05,JTS110099000000000JOL,17
2010,M06,JTS110099000000000JOL,14
2010,M07,JTS110099000000000JOL,12
2010,M08,JTS110099000000000JOL,15
2010,M09,JTS110099000000000JOL,16
2010,M10,JTS110099000000000JOL,21
2010,M11,JTS110099000000000JOL,22
2010,M12,JTS110099000000000JOL,19
2011,M01,JTS110099000000000JOL,30
2011,M02,JTS110099000000000JOL,19
2011,M03,JTS110099000000000JOL,34
2011,M04,JTS110099000000000JOL,26
2011,M05,JTS110099000000000JOL,18
2011,M06,JTS110099000000000JOL,14
2011,M07,JTS110099000000000JOL,27
2011,M08,JTS110099000000000JOL,22
2011,M09,JTS110099000000000JOL,24
2011,M10,JTS110099000000000JOL,21
2011,M11,JTS110099000000000JOL,24
2011,M12,JTS110099000000000JOL,30
2012,M01,JTS110099000000000JOL,25
2012,M02,JTS110099000000000JOL,26
2012,M03,JTS110099000000000JOL,20
2012,M04,JTS110099000000000JOL,17
2012,M05,JTS110099000000000JOL,22
2012,M06,JTS110099000000000JOL,19
2012,M07,JTS110099000000000JOL,14
2012,M08,JTS110099000000000JOL,18
2012,M09,JTS110099000000000JOL,15
2012,M10,JTS110099000000000JOL,13
2012,M11,JTS110099000000000JOL,17
2012,M12,JTS110099000000000JOL,17
2013,M01,JTS110099000000000JOL,18
2013,M02,JTS110099000000000JOL,28
2013,M03,JTS110099000000000JOL,16
2013,M04,JTS110099000000000JOL,20
2013,M05,JTS110099000000000JOL,19
2013,M06,JTS110099000000000JOL,20
2013,M07,JTS110099000000000JOL,23
2013,M08,JTS110099000000000JOL,24
2013,M09,JTS110099000000000JOL,19
2013,M10,JTS110099000000000JOL,21
2013,M11,JTS110099000000000JOL,18
2013,M12,JTS110099000000000JOL,23
2014,M01,JTS110099000000000JOL,24
2014,M02,JTS110099000000000JOL,26
2014,M03,JTS110099000000000JOL,35
2014,M04,JTS110099000000000JOL,25
2014,M05,JTS110099000000000JOL,32
2014,M06,JTS110099000000000JOL,31
2014,M07,JTS110099000000000JOL,31
2014,M08,JTS110099000000000JOL,32
2014,M09,JTS110099000000000JOL,30
2014,M10,JTS110099000000000JOL,34
2014,M11,JTS110099000000000JOL,31
